#{"t_start": 1777634231.6899936, "env_id": "crossy-road-notebook/CrossyRoad-v0"}
r,l,t
-4.25,15,0.135359
-2.65,8,0.158402
-3.35,18,0.22519
-2.7,9,0.259435
-5.5,26,0.343175
-1.45,28,0.424548
-5.05,22,0.47719
-4.8,9,0.518246
-4.0,11,0.553292
-5.45,72,0.812513
-3.85,11,0.873634
-4.45,16,0.912731
-4.3,39,1.037858
-4.5,17,1.109448
-4.6,18,1.17173
-4.75,19,1.253014
-5.3,14,1.308459
-5.5,16,1.366027
-4.05,12,1.417089
-3.9,11,1.463134
-3.4,16,1.511405
-5.15,24,1.599831
-4.7,8,1.618861
-5.4,25,1.676802
-8.25,54,6.499377
-1.1,48,6.819383
-5.45,36,7.071248
-6.8,49,7.40945
-9.45,77,7.871984
-4.2,3,7.899156
-1.7,156,8.867513
-3.4,41,9.17712
-5.2,13,9.248243
-4.45,27,9.397631
-6.0,21,9.520884
-3.75,9,9.571917
5.35,71,20.332934
-2.2,16,20.48838
-3.25,14,20.598821
-1.3,17,20.712888
-3.9,76,21.335227
-4.45,16,21.48238
-1.9,67,22.066467
-4.05,24,22.227554
-0.05,14,22.366642
-1.9,22,22.520463
-4.75,31,22.704181
-1.85,43,22.948954
-3.9,10,23.004753
-2.4,25,23.138195
-2.7,9,23.193594
-8.55,57,27.073611
-3.8,9,27.135895
-6.2,64,29.571245
-3.7,8,29.617326
-2.95,11,29.673436
-4.25,36,29.873141
-1.1,49,30.205707
-3.95,21,30.34243
-4.1,33,30.542347
-4.65,38,30.753178
-4.05,22,30.87158
-2.6,7,30.927195
-3.3,4,30.953208
-2.7,9,31.00278
-2.7,11,31.070842
-5.9,40,31.288173
-1.55,41,31.531267
-3.55,51,31.895456
-1.7,41,34.197807
-4.2,3,34.229795
-2.2,14,34.33098
-3.5,7,34.402844
-6.0,33,37.79715
4.45,42,38.128973
-3.8,9,38.226365
1.2,11,38.330189
-5.5,27,38.538468
1.3,19,38.637239
-0.85,10,38.703677
-5.25,35,38.915353
-0.1,26,39.051926
0.05,22,39.177927
